Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_001542625.2	ASM154262v2	Streptomyces griseochromogenes		ATCC 14511					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-07-05		1
GCF_001542625.1	ASM154262v2	Streptomyces griseochromogenes		ATCC 14511					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-07-05		1
GCA_027626975.1	ASM2762697v1	Streptomyces nigrescens		DSM 40276					Annotation submitted by Bielefeld University	Complete Genome	2023-01-10		2
GCF_027626975.1	ASM2762697v1	Streptomyces nigrescens		DSM 40276					GCF_027626975.1-RS_2024_04_01	Complete Genome	2023-01-10		2
GCA_017639205.1	ASM1763920v1	Streptomyces nojiriensis		JCM 3382					Annotation submitted by Korea Institute of Science and Technology	Complete Genome	2021-03-30		1
GCF_017639205.1	ASM1763920v1	Streptomyces nojiriensis		JCM 3382					GCF_017639205.1-RS_2024_04_23	Complete Genome	2021-03-30		1
GCA_033406955.1	ASM3340695v1	Streptomyces violaceoruber		CGMCC 4.1801					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-07		1
GCF_033406955.1	ASM3340695v1	Streptomyces violaceoruber		CGMCC 4.1801					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-07		1
GCA_001013905.1	sleC34	Streptomyces leeuwenhoekii		C34 (= DSM 42122 = NRRL B-24963)					Annotation submitted by JIC	Complete Genome	2015-05-21		3
GCF_001013905.1	sleC34	Streptomyces leeuwenhoekii		type strain (C34 = DSM 42122 = NRRL B-24963)					GCF_001013905.1-RS_2024_04_08	Complete Genome	2015-05-21		3
GCA_013046785.1	ASM1304678v1	Streptomyces argyrophyllae		Jing01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-05-12		1
GCF_013046785.1	ASM1304678v1	Streptomyces argyrophyllae		Jing01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-05-12		1
GCA_003097515.1	ASM309751v1	Streptomyces tirandamycinicus		HNM0039					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-05-08		1
GCF_003097515.1	ASM309751v1	Streptomyces tirandamycinicus		HNM0039					GCF_003097515.1-RS_2024_04_22	Complete Genome	2018-05-08		1
GCA_027942015.1	ASM2794201v1	Streptomyces goshikiensis		CGMCC 4.1796					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-01-23		5
GCF_027942015.1	ASM2794201v1	Streptomyces goshikiensis		CGMCC 4.1796					GCF_027942015.1-RS_2024_05_27	Complete Genome	2023-01-23		5
GCA_003122365.1	ASM312236v1	Streptomyces spongiicola		HNM0071					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-05-14		1
GCF_003122365.1	ASM312236v1	Streptomyces spongiicola		HNM0071					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-05-14		1
GCA_008704715.1	ASM870471v1	Streptomyces chartreusis		ATCC 14922					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-26		1
GCF_008704715.1	ASM870471v1	Streptomyces chartreusis		ATCC 14922					GCF_008704715.1-RS_2024_04_23	Complete Genome	2019-09-26		1
GCA_003955715.1	ASM395571v1	Streptomyces aquilus		GGCR-6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-19		1
GCF_003955715.1	ASM395571v1	Streptomyces aquilus		GGCR-6					GCF_003955715.1-RS_2024_04_22	Complete Genome	2018-12-19		1
GCA_014621695.1	ASM1462169v1	Streptomyces xanthii		CRXT-Y-14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-15		3
GCF_014621695.1	ASM1462169v1	Streptomyces xanthii		CRXT-Y-14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-15		3
GCA_003074055.1	ASM307405v1	Streptomyces nigra		452					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-04-30		1
GCF_003074055.1	ASM307405v1	Streptomyces nigra		452					GCF_003074055.1-RS_2024_04_22	Complete Genome	2018-04-30		1
GCA_000802245.2	ASM80224v2	Streptomyces pluripotens		MUSC 135					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-05-09		1
GCF_000802245.2	ASM80224v2	Streptomyces pluripotens		MUSC 135					GCF_000802245.2-RS_2024_04_27	Complete Genome	2017-05-09		1
GCA_000993785.3	ASM99378v3	Streptomyces xiamenensis		318					Annotation submitted by Shanghai Jiao Tong University	Complete Genome	2019-08-19		1
GCF_000993785.3	ASM99378v3	Streptomyces xiamenensis		MCCC 1A01550					GCF_000993785.3-RS_2024_05_04	Complete Genome	2019-08-19		1
GCA_008704855.1	ASM870485v1	Streptomyces platensis		ATCC 23948					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-26		1
GCF_008704855.1	ASM870485v1	Streptomyces platensis		ATCC 23948					GCF_008704855.1-RS_2024_04_23	Complete Genome	2019-09-26		1
GCA_016598615.1	ASM1659861v1	Streptomyces liliifuscus		ZYC-3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-10		2
GCF_016598615.1	ASM1659861v1	Streptomyces liliifuscus		ZYC-3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-10		2
GCA_003963535.1	ASM396353v1	Streptomyces cyaneochromogenes		MK-45					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-23		1
GCF_003963535.1	ASM396353v1	Streptomyces cyaneochromogenes		MK-45					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-23		1
GCA_018069625.1	ASM1806962v1	Streptomyces yatensis		DSM 41771						Complete Genome	2021-04-18		1
GCF_018069625.1	ASM1806962v1	Streptomyces yatensis		DSM 41771					GCF_018069625.1-RS_2024_05_06	Complete Genome	2021-04-18		1
GCA_019599145.1	ASM1959914v1	Streptomyces akebiae		MG28					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-08-15		2
GCF_019599145.1	ASM1959914v1	Streptomyces akebiae		MG28					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-08-15		2
GCA_008704495.1	ASM870449v1	Streptomyces kanamyceticus		ATCC 12853					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-26		1
GCF_008704495.1	ASM870449v1	Streptomyces kanamyceticus		ATCC 12853					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-26		1
GCA_009184865.1	ASM918486v1	Streptomyces phaeolivaceus		GY16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-10-20		2
GCF_009184865.1	ASM918486v1	Streptomyces phaeolivaceus		GY16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-10-20		2
GCA_022385335.1	ASM2238533v1	Streptomyces deccanensis		KCTC 19241					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-02-24		1
GCF_022385335.1	ASM2238533v1	Streptomyces deccanensis		KCTC 19241					GCF_022385335.1-RS_2024_03_28	Complete Genome	2022-02-24		1
GCA_015160855.1	ASM1516085v1	Streptomyces ferrugineus		CCTCC AA2014009					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-01		1
GCF_015160855.1	ASM1516085v1	Streptomyces ferrugineus		CCTCC AA2014009					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-01		1
GCA_014489635.1	ASM1448963v1	Streptomyces roseirectus		CRXT-G-22					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-06		1
GCF_014489635.1	ASM1448963v1	Streptomyces roseirectus		CRXT-G-22					GCF_014489635.1-RS_2024_05_05	Complete Genome	2020-09-06		1
GCA_020616555.1	ASM2061655v1	Streptomyces longhuiensis		BH-MK-02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-26		2
GCF_020616555.1	ASM2061655v1	Streptomyces longhuiensis		BH-MK-02					GCF_020616555.1-RS_2024_04_15	Complete Genome	2021-10-26		2
GCA_009796285.1	ASM979628v1	Streptomyces broussonetiae		T44					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-12-24		1
GCF_009796285.1	ASM979628v1	Streptomyces broussonetiae		T44					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-12-24		1
GCA_023498005.1	ASM2349800v1	Streptomyces durmitorensis		MS405					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-18		2
GCF_023498005.1	ASM2349800v1	Streptomyces durmitorensis		MS405					GCF_023498005.1-RS_2024_05_25	Complete Genome	2022-05-18		2
GCA_001735805.1	ASM173580v1	Streptomyces fodineus		TW1S1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-20		1
GCF_001735805.1	ASM173580v1	Streptomyces fodineus		TW1S1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-20		1
GCA_027270315.1	ASM2727031v1	Streptomyces cinnabarinus		DSM 40467					Annotation submitted by Bielefeld University	Complete Genome	2022-12-24		1
GCF_027270315.1	ASM2727031v1	Streptomyces cinnabarinus		DSM 40467					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-24		1
GCA_031593255.1	ASM3159325v1	Streptomyces janthinus		JCM 4387					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-09-18		2
GCF_031593255.1	ASM3159325v1	Streptomyces janthinus		JCM 4387					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-09-18		2
GCA_008705135.1	ASM870513v1	Streptomyces coeruleorubidus		ATCC 13740					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-26		1
GCF_008705135.1	ASM870513v1	Streptomyces coeruleorubidus		ATCC 13740					GCF_008705135.1-RS_2024_04_23	Complete Genome	2019-09-26		1
GCA_003261055.1	ASM326105v1	Streptomyces cadmiisoli		ZFG47					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-06-24		2
GCF_003261055.1	ASM326105v1	Streptomyces cadmiisoli		ZFG47					GCF_003261055.1-RS_2024_05_04	Complete Genome	2018-06-24		2
GCA_023277745.1	ASM2327774v1	Streptomyces halobius		3_2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-09		1
GCF_023277745.1	ASM2327774v1	Streptomyces halobius		3_2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-09		1
GCA_001611795.1	ASM161179v1	Streptomyces qaidamensis		S10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-04-06		1
GCF_001611795.1	ASM161179v1	Streptomyces qaidamensis		S10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-04-06		1
GCA_025642135.1	ASM2564213v1	Streptomyces cynarae		HUAS 13-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-11		2
GCF_025642135.1	ASM2564213v1	Streptomyces cynarae		HUAS 13-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-11		2
GCA_009498275.1	ASM949827v1	Streptomyces fagopyri		QMT-28					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-04		1
GCF_009498275.1	ASM949827v1	Streptomyces fagopyri		QMT-28					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-04		1
GCA_004803895.1	ASM480389v1	Streptomyces hawaiiensis		ATCC 12236					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-04-23		1
GCF_004803895.1	ASM480389v1	Streptomyces hawaiiensis		ATCC 12236					GCF_004803895.1-RS_2024_05_04	Complete Genome	2019-04-23		1
GCA_019880305.1	ASM1988030v1	Streptomyces decoyicus		NRRL 2666					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-05		1
GCF_019880305.1	ASM1988030v1	Streptomyces decoyicus		NRRL 2666					GCF_019880305.1-RS_2024_05_06	Complete Genome	2021-09-05		1
GCA_021441825.1	ASM2144182v1	Streptomyces spinosirectus		CRSS-Y-16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-12		1
GCF_021441825.1	ASM2144182v1	Streptomyces spinosirectus		CRSS-Y-16					GCF_021441825.1-RS_2024_04_08	Complete Genome	2022-01-12		1
GCA_002946835.1	ASM294683v1	Streptomyces dengpaensis		XZHG99					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-02-22		3
GCF_002946835.1	ASM294683v1	Streptomyces dengpaensis		XZHG99					GCF_002946835.1-RS_2024_03_28	Complete Genome	2018-02-22		3
GCA_003344965.1	ASM334496v1	Streptomyces paludis		GSSD-12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-07-30		1
GCF_003344965.1	ASM334496v1	Streptomyces paludis		GSSD-12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-07-30		1
GCA_014295035.1	ASM1429503v1	Streptomyces buecherae		AC541					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-08-25		1
GCF_014295035.1	ASM1429503v1	Streptomyces buecherae		AC541					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-08-25		1
GCA_003054555.1	ASM305455v1	Streptomyces lunaelactis		MM109					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-04-17		3
GCF_003054555.1	ASM305455v1	Streptomyces lunaelactis		MM109					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-04-17		3
GCA_022647665.1	ASM2264766v1	Streptomyces formicae		1H-GS9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-03-21		2
GCF_022647665.1	ASM2264766v1	Streptomyces formicae		1H-GS9					GCF_022647665.1-RS_2024_04_06	Complete Genome	2022-03-21		2
GCA_007856155.1	ASM785615v1	Streptomyces qinzhouensis		SSL-25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-06		1
GCF_007856155.1	ASM785615v1	Streptomyces qinzhouensis		SSL-25					GCF_007856155.1-RS_2024_05_04	Complete Genome	2019-08-06		1
GCA_003675325.1	ASM367532v1	Streptomyces dangxiongensis		Z022					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-10-23		2
GCF_003675325.1	ASM367532v1	Streptomyces dangxiongensis		Z022					GCF_003675325.1-RS_2024_03_28	Complete Genome	2018-10-23		2
GCA_008704395.1	ASM870439v1	Streptomyces alboniger		ATCC 12461					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-26		1
GCF_008704395.1	ASM870439v1	Streptomyces alboniger		ATCC 12461					GCF_008704395.1-RS_2024_05_04	Complete Genome	2019-09-26		1
GCA_027947595.1	ASM2794759v1	Streptomyces lienomycini		DSM 41475						Complete Genome	2023-01-25		1
GCF_027947595.1	ASM2794759v1	Streptomyces lienomycini		DSM 41475					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-01-25		1
GCA_022699385.1	ASM2269938v1	Streptomyces tubbatahanensis		DSD3025					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-03-27		1
GCF_022699385.1	ASM2269938v1	Streptomyces tubbatahanensis		DSD3025					GCF_022699385.1-RS_2024_04_15	Complete Genome	2022-03-27		1
GCA_008704575.1	ASM870457v1	Streptomyces galilaeus		ATCC 14969					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-26		1
GCF_008704575.1	ASM870457v1	Streptomyces galilaeus		ATCC 14969					GCF_008704575.1-RS_2024_04_23	Complete Genome	2019-09-26		1
GCA_011694815.1	ASM1169481v1	Streptomyces liangshanensis		QMT-12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-03-24		1
GCF_011694815.1	ASM1169481v1	Streptomyces liangshanensis		QMT-12					GCF_011694815.1-RS_2024_04_19	Complete Genome	2020-03-24		1
GCA_008704935.1	ASM870493v1	Streptomyces vinaceus		ATCC 27476					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-26		1
GCF_008704935.1	ASM870493v1	Streptomyces vinaceus		ATCC 27476					GCF_008704935.1-RS_2024_04_23	Complete Genome	2019-09-26		1
GCA_008704445.1	ASM870444v1	Streptomyces prasinus		ATCC 13879					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-26		1
GCF_008704445.1	ASM870444v1	Streptomyces prasinus		ATCC 13879					GCF_008704445.1-RS_2024_04_23	Complete Genome	2019-09-26		1
GCA_005517195.1	ASM551719v1	Streptomyces vilmorinianum		YP1						Complete Genome	2019-05-20		1
GCF_005517195.1	ASM551719v1	Streptomyces vilmorinianum		YP1					GCF_005517195.1-RS_2024_06_17	Complete Genome	2019-05-20		1
GCA_014489615.1	ASM1448961v1	Streptomyces genisteinicus		CRPJ-33					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-06		3
GCF_014489615.1	ASM1448961v1	Streptomyces genisteinicus		CRPJ-33					GCF_014489615.1-RS_2024_05_05	Complete Genome	2020-09-06		3
GCA_008704535.1	ASM870453v1	Streptomyces subrutilus		ATCC 27467					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-26		1
GCF_008704535.1	ASM870453v1	Streptomyces subrutilus		ATCC 27467					GCF_008704535.1-RS_2024_04_23	Complete Genome	2019-09-26		1
GCA_008704555.1	ASM870455v1	Streptomyces nitrosporeus		ATCC 12769					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-26		1
GCF_008704555.1	ASM870455v1	Streptomyces nitrosporeus		ATCC 12769					GCF_008704555.1-RS_2024_04_23	Complete Genome	2019-09-26		1
GCA_014701095.1	ASM1470109v1	Streptomyces tuirus		JCM 4255					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Complete Genome	2020-09-11		1
GCF_014701095.1	ASM1470109v1	Streptomyces tuirus		JCM 4255					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-09-11		1
GCA_015160875.1	ASM1516087v1	Streptomyces chromofuscus		DSM 40273					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-01		1
GCF_015160875.1	ASM1516087v1	Streptomyces chromofuscus		DSM 40273					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-01		1
GCA_029760955.1	ASM2976095v1	Streptomyces cathayae		HUAS 5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-04-15		2
GCF_029760955.1	ASM2976095v1	Streptomyces cathayae		HUAS 5					GCF_029760955.1-RS_2024_04_15	Complete Genome	2023-04-15		2
GCA_015910445.1	ASM1591044v1	Streptomyces bathyalis		ASO4wet					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-10		1
GCF_015910445.1	ASM1591044v1	Streptomyces bathyalis		ASO4wet					GCF_015910445.1-RS_2024_05_05	Complete Genome	2020-12-10		1
GCA_026153355.1	ASM2615335v1	Streptomyces endophytica		HNM0140					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-11-13		1
GCF_026153355.1	ASM2615335v1	Streptomyces endophytica		HNM0140					GCF_026153355.1-RS_2024_04_15	Complete Genome	2022-11-13		1
GCA_024600715.1	ASM2460071v1	Streptomyces changanensis		HL-66					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-09		2
GCF_024600715.1	ASM2460071v1	Streptomyces changanensis		HL-66					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-09		2
GCA_004328625.1	ASM432862v1	Streptomyces seoulensis		KCTC 9819					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-06		2
GCF_004328625.1	ASM432862v1	Streptomyces seoulensis		KCTC 9819					GCF_004328625.1-RS_2024_03_28	Complete Genome	2019-03-06		2
GCA_021216675.1	ASM2121667v1	Streptomyces gobiensis		1_25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-12-16		1
GCF_021216675.1	ASM2121667v1	Streptomyces gobiensis		1_25					GCF_021216675.1-RS_2024_04_05	Complete Genome	2021-12-16		1
GCA_000359525.1	ASM35952v1	Streptomyces albidoflavus		J1074					Annotation submitted by HIPS/LNU	Complete Genome	2013-04-09		1
GCF_000359525.1	ASM35952v1	Streptomyces albidoflavus		J1074					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2013-04-09		1
GCA_015767775.1	ASM1576777v1	Streptomyces clavuligerus		F1D7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-06		2
GCF_015767775.1	ASM1576777v1	Streptomyces clavuligerus		F1D7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-06		2
GCA_024752535.1	ASM2475253v1	Streptomyces albus		DSM 40763					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-28		2
GCF_024752535.1	ASM2475253v1	Streptomyces albus		DSM 40763					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-28		2
