Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Assembly Stats Total Sequence Length	Assembly Stats Contig N50	Assembly Stats Contig L50	Assembly Stats GC Count	Assembly Stats GC Percent	CheckM contamination
GCA_019890725.1	Streptomyces acidipaludis	PLK6-54	8482086	116494	22	6166006	72.5	1.94
GCA_001189015.1	Streptomyces acidiscabies	NCPPB 4445	9978361	88034	36	7049787	70.5	0.95
GCA_001485105.1	Streptomyces acidiscabies	a10	10725420	82196	39	7574005	70.5	1.55
GCA_001941265.1	Streptomyces acidiscabies	98-49	10199530	16535	190	7185949	70.5	2.21
GCA_001941275.1	Streptomyces acidiscabies	98-48	10550187	20309	150	7452541	70.5	1.26
GCA_001941285.1	Streptomyces acidiscabies	85-06	10978399	20017	166	7740070	70.5	1.55
GCA_001941325.1	Streptomyces acidiscabies	FL01	10556215	19323	157	7447696	70.5	2.02
GCA_001949645.1	Streptomyces acidiscabies	a2	10582418	85309	38	7475901	70.5	1.83
GCA_003584805.2	Streptomyces acidiscabies	ST105	11077658	10970628	1	7819489	70.5	1.07
GCA_020010905.1	Streptomyces acidiscabies	NRRL B-16521	11002003	5894306	1	7767209	70.5	1.07
GCA_033793055.1	Streptomyces acidiscabies	NRRL_B-16521	10982315	201585	18	7710824	70.5	1.07
GCA_033793405.1	Streptomyces acidiscabies	NB05-1H	11509542	263363	17	8119391	70.5	1.83
GCA_033795045.1	Streptomyces acidiscabies	ATCC 49003	10918791	192560	15	7711635	70.5	1.07
GCA_036873425.1	Streptomyces acidiscabies	B21-098	9795961	9795961	1	6914946	70.5	0.69
GCA_036873705.1	Streptomyces acidiscabies	B21-078	11194725	11096455	1	7900059	70.5	0.88
GCA_036898605.1	Streptomyces acidiscabies	B21-095	11043063	10920093	1	7795326	70.5	1.07
GCA_000242715.2	Streptomyces acidiscabies 84-104	84-104	11005945	113361	35	7769136	70.5	1.07
GCA_016741775.1	Streptomyces actinomycinicus	RCU-197	8790999	270358	9	6316495	72	1.45
GCA_003208035.1	Streptomyces actuosus	ATCC 25421	8145579	8145579	1	5908207	72.5	0.09
GCA_016921115.1	Streptomyces actuosus	VRA1	8451480	190774	14	6088211	72	1.06
GCA_020400605.1	Streptomyces aculeolatus	DSM 41644	8986452	230881	11	6587332	73.5	
GCA_016598475.1	Streptomyces adelaidensis	CAP261	9321252	83341	34	6576899	70.5	1.37
GCA_009377175.1	Streptomyces adustus	NBRC 109810	10226955	32765	96	7281488	71	3
GCA_030817705.1	Streptomyces afghaniensis	W1I20	9938529	9847831	1	7061477	71	0.96
GCA_040613695.1	Streptomyces afghaniensis	NPDC006242	9419768	199782	17	6698254	71	
GCA_000415505.1	Streptomyces afghaniensis 772	772	9848774	23010	145	6989746	71	2.68
GCA_002150735.1	Streptomyces africanus	NRRL B-24243	9115570	27371	99	6485792	71	0.55
GCA_030816955.1	Streptomyces africanus	B3I12	9069472	9069472	1	6459434	71	0.2
GCA_001746415.1	Streptomyces agglomeratus	6-3-2	9128732	8325022	1	6429167	70.5	0.38
GCA_001746455.1	Streptomyces agglomeratus	9-3-15	8962368	8142030	1	6317971	70.5	0.13
GCA_001746465.1	Streptomyces agglomeratus	5-1-3	9514325	8101382	1	6697498	70.5	0.69
GCA_001746475.1	Streptomyces agglomeratus	5-2-6	9018469	8348226	1	6352476	70.5	0.32
GCA_900112355.1	Streptomyces aidingensis	CGMCC 4.5739	6482745	276870	8	4736138	73	0.88
GCA_019599145.1	Streptomyces akebiae	MG28	10549378	10257202	1	7476568	71	0.93
GCA_014650595.1	Streptomyces alanosinicus	JCM 4714	10244856	228177	11	7262027	71	1.37
GCA_014203495.1	Streptomyces albaduncus	CECT 3226	7925849	323502	9	5690334	72	0.76
GCA_014650615.1	Streptomyces albaduncus	JCM 4715	7929576	70080	33	5682191	71.5	1.14
GCA_039530985.1	Streptomyces albiaxialis	JCM 15478	9189471	283078	9	6690035	73	2.24
GCA_008905045.1	Streptomyces albicerus	TRM68295	11977091	82685	47	8377650	70	0.76
GCA_005981925.1	Streptomyces albidochromogenes	DSM 41800	7265310	18694	119	5192329	71.5	0.88
GCA_039529395.1	Streptomyces albidochromogenes	JCM 13858	7327976	158238	14	5253542	71.5	0.51
GCA_000156475.1	Streptomyces albidoflavus	J1074	6823670	23675	87	4841916	73	1.61
GCA_000359525.1	Streptomyces albidoflavus	J1074	6841649	6841649	1	5016384	73.5	1.42
GCA_000717375.1	Streptomyces albidoflavus	NRRL B-2307	7202597	186085	14	5281510	73.5	0.69
GCA_000719435.1	Streptomyces albidoflavus	NRRL F-5618	7102828	117486	22	5216281	73.5	0.98
GCA_000719495.1	Streptomyces albidoflavus	NRRL F-5621	7341200	90004	24	5386406	73.5	0.38
GCA_000719955.1	Streptomyces albidoflavus	NRRL B-1271	7084693	160497	13	5202597	73.5	1.01
GCA_001509565.1	Streptomyces albidoflavus	NRRL WC-3066	7151148	67140	32	5249802	73.5	0.82
GCA_001577385.1	Streptomyces albidoflavus	SM254	7170504	7170504	1	5258852	73.5	0.69
GCA_001865795.1	Streptomyces albidoflavus	OsiLf-2	6952079	360729	8	5104881	73.5	0.82
GCA_002289305.1	Streptomyces albidoflavus	145	6523997	7989	238	4759148	73	0.6
GCA_002289335.1	Streptomyces albidoflavus	132	6797439	10498	185	4963075	73	1.26
GCA_002317005.1	Streptomyces albidoflavus	38	6985550	9968	208	5098725	73	0.6
GCA_002317025.1	Streptomyces albidoflavus	138	6978043	11431	186	5093914	73	0.57
GCA_002317035.1	Streptomyces albidoflavus	143	7029244	12358	164	5133199	73	0.9
GCA_004078575.1	Streptomyces albidoflavus	BSII#1	7003169	11575	177	5112515	73	0.38
GCA_004195735.1	Streptomyces albidoflavus	DSM 40455	6969071	332544	7	5117341	73.5	1.01
GCA_004195745.1	Streptomyces albidoflavus	NBRC 100770	7157307	334066	7	5255098	73.5	0.82
GCA_004195755.1	Streptomyces albidoflavus	NBRC 13083	7042329	278969	7	5174232	73.5	0.69
GCA_004195765.1	Streptomyces albidoflavus	CGMCC 4.1677	6978897	364125	6	5126015	73.5	0.69
GCA_004195775.1	Streptomyces albidoflavus	DSM 40233	7053132	262674	9	5177388	73.5	0.82
GCA_004195835.1	Streptomyces albidoflavus	FXJ8.011	7188121	383364	7	5271537	73.5	1.1
GCA_004195845.1	Streptomyces albidoflavus	CGMCC 4.1681	7227023	319881	9	5300418	73.5	0.85
GCA_004195855.1	Streptomyces albidoflavus	FXJ.2339	7120012	377764	8	5227350	73.5	0.69
GCA_004195885.1	Streptomyces albidoflavus	NBRC 12790	6953149	309124	9	5107188	73.5	0.69
GCA_004195895.1	Streptomyces albidoflavus	Ma24	6963119	317189	8	5121521	73.5	0.69
GCA_004195935.1	Streptomyces albidoflavus	CR33	7157271	352542	6	5256235	73.5	0.98
GCA_004195945.1	Streptomyces albidoflavus	CR10	7156688	422844	5	5253686	73.5	0.38
GCA_004195955.1	Streptomyces albidoflavus	CR25	7168767	522740	5	5264945	73.5	0.98
GCA_004195965.1	Streptomyces albidoflavus	Ma1	7268166	551090	4	5328051	73.5	0.93
GCA_004195995.1	Streptomyces albidoflavus	CR47	7135321	508717	4	5239584	73.5	0.98
GCA_004196035.1	Streptomyces albidoflavus	CR19	7103409	514855	5	5222384	73.5	0.57
GCA_004196045.1	Streptomyces albidoflavus	CR46	7046937	247280	10	5176774	73.5	0.69
GCA_004196055.1	Streptomyces albidoflavus	CR16	6970185	113214	21	5124130	73.5	0.88
GCA_004196095.1	Streptomyces albidoflavus	CR15	6956236	266746	7	5114714	73.5	0.51
GCA_004196115.1	Streptomyces albidoflavus	FXJ8.008	7169130	97051	22	5259158	73.5	1.1
GCA_004196125.1	Streptomyces albidoflavus	CR13	6947028	182021	13	5105344	73.5	1.01
GCA_004196135.1	Streptomyces albidoflavus	D62	7144751	256416	10	5242250	73.5	0.88
GCA_004196145.1	Streptomyces albidoflavus	FXJ8.031	6960543	494739	5	5118582	73.5	0.77
GCA_004196155.1	Streptomyces albidoflavus	CGMCC 4.1615	6957957	447068	6	5116748	73.5	0.77
GCA_004196215.1	Streptomyces albidoflavus	FXJ6.189	7356764	368474	7	5393809	73.5	0.82
GCA_006378235.1	Streptomyces albidoflavus	UYFA156	7131381	6823997	1	5236369	73.5	0.38
GCA_007896905.1	Streptomyces albidoflavus	77	7446125	1152190	3	5448884	73	1.66
GCA_010550625.1	Streptomyces albidoflavus	SID9939	6984444	22756	97	5121553	73.5	1.01
GCA_013693715.1	Streptomyces albidoflavus	J1074/R2	6942952	6942952	1	5085631	73	1.42
GCA_015321285.1	Streptomyces albidoflavus	ANT_B131	6968465	236213	8	5098176	73	0.51
GCA_015601545.1	Streptomyces albidoflavus	W68	6796629	6796629	1	4986446	73.5	0.38
GCA_016734825.1	Streptomyces albidoflavus	BT4	6995699	12098	170	5132628	73.5	0.38
GCA_016734865.1	Streptomyces albidoflavus	BT3	6847979	9128	216	5017083	73.5	0.38
GCA_019219645.1	Streptomyces albidoflavus	LGO-A3	7119524	533911	5	5223755	73.5	0.38
GCA_019219685.1	Streptomyces albidoflavus	LGO-A19	7161627	1163265	3	5249436	73.5	0.38
GCA_019286195.1	Streptomyces albidoflavus	LGO-A16	7054925	2183821	2	5178545	73.5	0.82
GCA_019286295.1	Streptomyces albidoflavus	LGO-A23	7073859	556770	4	5189531	73.5	1.2
GCA_020521315.1	Streptomyces albidoflavus	NBRC 12854	7167927	5298185	1	5253946	73.5	1.05
GCA_023502165.1	Streptomyces albidoflavus	220	7310412	71800	31	5366168	73.5	2.21
GCA_024592655.1	Streptomyces albidoflavus	VIP_1	7021778	275236	8	5163197	73.5	0.38
GCA_025630915.1	Streptomyces albidoflavus	Q	6958433	425381	6	5115338	73.5	0.57
GCA_026339675.1	Streptomyces albidoflavus	NBC_01691	7344443	7088082	1	5378867	73	0.63
GCA_026339695.1	Streptomyces albidoflavus	NBC_01670	7309386	6923361	1	5354149	73.5	0.69
GCA_026635925.1	Streptomyces albidoflavus	J1074_D14	6341040	6341040	1	4643879	73	0.76
GCA_030345275.1	Streptomyces albidoflavus	MGMM6	6932303	6932303	1	5096533	73.5	1.01
GCA_034479045.1	Streptomyces albidoflavus	ATCC 23899	7131284	7131284	1	5227645	73.5	0.82
GCA_035955795.1	Streptomyces albidoflavus	NBC_01331	7288318	7078426	1	5339397	73.5	0.69
GCA_036238395.1	Streptomyces albidoflavus	NBC_01271	6978313	6978313	1	5122154	73.5	1.01
GCA_036239155.1	Streptomyces albidoflavus	NBC_01270	7015337	7015337	1	5148396	73.5	1.01
GCA_036247045.1	Streptomyces albidoflavus	NBC 01722	7036030	7036030	1	5162747	73.5	1.01
GCA_038242915.1	Streptomyces albidoflavus	RKJM-0023	7122485	7031575	1	5224694	73.5	0.57
GCA_038593545.1	Streptomyces albidoflavus	JAR6	7121650	394096	6	5237833	73.5	0.38
GCA_038662715.1	Streptomyces albidoflavus	SC-3	7102577	7102577	1	5207053	73.5	0.82
GCA_040297505.1	Streptomyces albidoflavus	NPDC001745	7079107	170938	12	5196719	73.5	0.63
GCA_040300205.1	Streptomyces albidoflavus	NPDC000493	7585051	69697	32	5536760	73	7.17
GCA_040300425.1	Streptomyces albidoflavus	NPDC000360	7017831	181318	11	5149502	73.5	0.69
GCA_040300445.1	Streptomyces albidoflavus	NPDC000394	7040025	180160	13	5171095	73.5	0.69
GCA_040302045.1	Streptomyces albidoflavus	NPDC000023	7199523	220129	12	5279381	73.5	0.85
GCA_040302805.1	Streptomyces albidoflavus	NPDC097099	6930587	45790	50	5054306	73	0.51
GCA_040303165.1	Streptomyces albidoflavus	NPDC096061	7149190	124078	18	5247245	73.5	0.69
GCA_040303845.1	Streptomyces albidoflavus	NPDC094052	7194292	179537	11	5277842	73.5	0.51
GCA_040606235.1	Streptomyces albidoflavus	NPDC005450	7028653	138916	15	5164759	73.5	0.98
GCA_040606265.1	Streptomyces albidoflavus	NPDC005441	7281075	154044	17	5354568	73.5	0.19
GCA_040606295.1	Streptomyces albidoflavus	NPDC005446	7037361	43819	49	5171388	73.5	0.98
GCA_040609275.1	Streptomyces albidoflavus	NPDC004694	6999418	679037	4	5142683	73.5	0.82
GCA_040609495.1	Streptomyces albidoflavus	NPDC004660	7028661	155743	15	5163696	73.5	1.17
GCA_040613135.1	Streptomyces albidoflavus	NPDC006311	6617275	5953	336	4839135	73	1.26
GCA_040613195.1	Streptomyces albidoflavus	NPDC006304	7213615	58515	39	5283309	73	1.01
GCA_040613215.1	Streptomyces albidoflavus	NPDC006300	7190438	31247	70	5278970	73.5	0.38
GCA_040628955.1	Streptomyces albidoflavus	NPDC006027	7128272	345972	7	5232620	73.5	1.36
GCA_040629865.1	Streptomyces albidoflavus	NPDC005868	6933280	51886	40	5100109	73.5	0.87
GCA_040630285.1	Streptomyces albidoflavus	NPDC005817	6976711	78069	29	5129733	73.5	0.98
GCA_040633095.1	Streptomyces albidoflavus	NPDC013402	7180939	182863	14	5261772	73.5	0.69
GCA_040633215.1	Streptomyces albidoflavus	NPDC013284	7140691	136705	17	5230337	73.5	0.69
GCA_040634315.1	Streptomyces albidoflavus	NPDC007115	7155732	145309	14	5256222	73.5	0.38
GCA_040634375.1	Streptomyces albidoflavus	NPDC007114	7311940	13219	169	5322166	73	0.67
GCA_040634615.1	Streptomyces albidoflavus	NPDC007079	7077363	82140	27	5166150	73	
GCA_040634665.1	Streptomyces albidoflavus	NPDC007065	6972348	165267	13	5098489	73	
GCA_040634755.1	Streptomyces albidoflavus	NPDC007058	7067323	182162	13	5162214	73	0.17
GCA_040634955.1	Streptomyces albidoflavus	NPDC007024	7134634	143984	18	5237282	73.5	0.69
GCA_040635305.1	Streptomyces albidoflavus	NPDC006977	7008974	201324	12	5125595	73	0.13
GCA_040635445.1	Streptomyces albidoflavus	NPDC006965	7059869	495903	6	5183201	73.5	1.08
GCA_040635525.1	Streptomyces albidoflavus	NPDC006953	7111161	213528	11	5201693	73	0.51
GCA_040635565.1	Streptomyces albidoflavus	NPDC006947	7294131	136814	17	5320610	73	
GCA_040635865.1	Streptomyces albidoflavus	NPDC006834	6874442	151896	15	5033993	73	0.13
GCA_040635945.1	Streptomyces albidoflavus	NPDC006809	7073772	150230	18	5164159	73	
GCA_040636535.1	Streptomyces albidoflavus	NPDC036225	7157462	160832	15	5257176	73.5	0.38
GCA_040637815.1	Streptomyces albidoflavus	NPDC028204	7081857	388009	8	5200202	73.5	0.82
GCA_040640855.1	Streptomyces albidoflavus	NPDC021591	7129142	264354	10	5218552	73	0.88
GCA_040641535.1	Streptomyces albidoflavus	NPDC020773	7388235	151758	18	5412291	73.5	0.63
GCA_040642355.1	Streptomyces albidoflavus	NPDC047859	7161291	261952	11	5260307	73.5	0.38
GCA_040644275.1	Streptomyces albidoflavus	NPDC046998	7026748	168213	14	5165915	73.5	0.98
GCA_040644335.1	Streptomyces albidoflavus	NPDC046987	7299993	212504	13	5356094	73.5	0.51
GCA_040644815.1	Streptomyces albidoflavus	NPDC007108	7243130	65837	34	5311021	73.5	0.67
GCA_040644835.1	Streptomyces albidoflavus	NPDC007082	7336097	144407	16	5352365	73	
GCA_040646775.1	Streptomyces albidoflavus	NPDC045167	7009116	249870	10	5149933	73.5	0.38
GCA_040647175.1	Streptomyces albidoflavus	NPDC044138	7463300	201770	14	5469298	73.5	0.57
GCA_040677505.1	Streptomyces albidoflavus	NPDC053831	7308667	119370	19	5347694	73	0.95
GCA_040677795.1	Streptomyces albidoflavus	NPDC053738	7034899	83229	29	5167272	73.5	0.69
GCA_040677835.1	Streptomyces albidoflavus	NPDC053736	7041462	187753	12	5171351	73.5	0.69
GCA_040677855.1	Streptomyces albidoflavus	NPDC053732	7055559	177202	13	5183502	73.5	0.51
GCA_040678335.1	Streptomyces albidoflavus	NPDC052703	7194425	41446	53	5264962	73	1.8
GCA_040680315.1	Streptomyces albidoflavus	NPDC052085	7286525	209234	11	5337086	73.5	0.63
GCA_040681755.1	Streptomyces albidoflavus	NPDC051581	7118997	187137	12	5227128	73.5	0.82
GCA_040685675.1	Streptomyces albidoflavus	NPDC088199	7775562	77949	29	5687685	73	0.73
GCA_040685755.1	Streptomyces albidoflavus	NPDC088191	7029677	157537	14	5163517	73.5	0.69
GCA_040701785.1	Streptomyces albidoflavus	NPDC090300	7018237	301024	8	5156782	73.5	0.69
GCA_040701885.1	Streptomyces albidoflavus	NPDC088366	6904952	35263	57	5072597	73.5	0.82
GCA_040701985.1	Streptomyces albidoflavus	NPDC088200	7399592	124677	21	5423970	73.5	0.73
GCA_040702625.1	Streptomyces albidoflavus	NPDC078892	7187241	232345	11	5270125	73.5	0.82
GCA_040703575.1	Streptomyces albidoflavus	NPDC007091	7065480	134835	16	5189409	73.5	1.01
GCA_040703655.1	Streptomyces albidoflavus	NPDC007077	7048451	169966	14	5152998	73	0.13
GCA_040706455.1	Streptomyces albidoflavus	NPDC047995	7104621	286309	8	5213631	73.5	0.85
GCA_041435375.1	Streptomyces albidoflavus	NBC_01274	7193926	7177495	1	5274098	73.5	0.51
GCA_041438585.1	Streptomyces albidoflavus	NBC 01791	7216567	7025725	1	5290077	73.5	0.38
GCA_041438605.1	Streptomyces albidoflavus	NBC 01790	6972512	6970058	1	5095866	73	0.13
GCA_041438665.1	Streptomyces albidoflavus	NBC 01747	7209897	7184798	1	5285330	73.5	0.88
GCA_041438825.1	Streptomyces albidoflavus	NBC 01692	7184925	7159790	1	5271204	73.5	0.69
GCA_041438845.1	Streptomyces albidoflavus	NBC_01616	7362561	7347685	1	5395129	73.5	1.01
GCA_900171555.1	Streptomyces albidoflavus	R-53649	7004412	43278	46	5134826	73.5	1.01
GCA_947311705.1	Streptomyces albidoflavus	CCOS 2040	7136301	7047941	1	5234689	73.5	0.19
GCA_013870515.1	Streptomyces albidus (ex Kaewkla and Franco 2022)	CAP215	6657676	20451	85	4647600	70	0.47
GCA_014645835.1	Streptomyces albiflavescens	CGMCC 4.7111	10892780	217414	15	7617493	70	2.18
GCA_016103485.1	Streptomyces albiflaviniger	DSM 42598	10280844	3202	909	7244907	70.5	
GCA_023701525.1	Streptomyces albipurpureus	CWNU-1	9365620	108799	30	6398433	68.5	2.08
GCA_002192455.1	Streptomyces albireticuli	MDJK11	8144417	8144417	1	5931006	73	1.91
GCA_002286695.1	Streptomyces albireticuli	NRRL B-1670	8454574	21466	117	6123108	72.5	1.72
GCA_021228115.1	Streptomyces albireticuli	NRRL B1670 type C	6939886	326674	7	5023544	72.5	0.33
GCA_021228125.1	Streptomyces albireticuli	NRRL B1670	8564494	272279	8	6206592	72.5	1.72
GCA_021228305.1	Streptomyces albireticuli	NRRL B1670 type B	6916726	490438	5	5010882	72.5	0.52
GCA_001315345.1	Streptomyces albofaciens JCM 4342	JCM 4342	4345664	1249	992	2988273	69	
GCA_008634025.1	Streptomyces albofaciens JCM 4342	ATCC 23873	9252595	4757978	1	6691032	72.5	1.77
GCA_000716675.1	Streptomyces alboflavus	NRRL B-2373	9717375	134286	24	7013603	72	0.69
GCA_002189675.2	Streptomyces alboflavus	MDJK44	9967549	9622415	1	7176233	72	0.82
GCA_003935055.1	Streptomyces alboflavus	313	8916703	279686	10	6430641	72	0.86
GCA_014650475.1	Streptomyces albogriseolus	JCM 4616	8066392	288677	9	5835147	72.5	0.81
GCA_024349185.1	Streptomyces albogriseolus	MRC002	7460658	7065610	1	5409921	72.5	
GCA_040609895.1	Streptomyces albogriseolus	NPDC004583	7037672	189519	14	5094030	72.5	0.38
GCA_040628415.1	Streptomyces albogriseolus	NPDC006578	7483645	36727	59	5422593	72.5	
GCA_040628515.1	Streptomyces albogriseolus	NPDC006369	7896758	50046	53	5716279	72.5	1.48
GCA_040628875.1	Streptomyces albogriseolus	NPDC006040	7378567	17462	130	5366698	72.5	0.64
GCA_040628915.1	Streptomyces albogriseolus	NPDC006038	7587098	212712	12	5511950	72.5	
GCA_040628935.1	Streptomyces albogriseolus	NPDC006039	7436772	289214	8	5403574	72.5	
GCA_040628975.1	Streptomyces albogriseolus	NPDC005990	7754304	181485	14	5621222	72.5	0.51
GCA_040632035.1	Streptomyces albogriseolus	NPDC019732	8109508	220949	13	5870402	72.5	
GCA_040637175.1	Streptomyces albogriseolus	NPDC031472	8108863	334763	9	5870682	72.5	0.22
GCA_040637255.1	Streptomyces albogriseolus	NPDC030493	7375776	346244	8	5361700	72.5	
GCA_040647255.1	Streptomyces albogriseolus	NPDC042609	7794101	153283	13	5654632	72.5	1.64
GCA_040674155.1	Streptomyces albogriseolus	NPDC050252	7557688	287847	9	5486631	72.5	0.09
GCA_040678555.1	Streptomyces albogriseolus	NPDC052628	7521336	188577	12	5463813	72.5	
GCA_040678595.1	Streptomyces albogriseolus	NPDC052629	7481735	92519	26	5438114	72.5	
GCA_041261465.1	Streptomyces albogriseolus	SAI-173	7480058	7148027	1	5431424	72.5	
GCA_001418385.1	Streptomyces alboniger	NRRL B-1832	7547388	23163	94	5362434	71	1.45
GCA_008704395.1	Streptomyces alboniger	ATCC 12461	7962786	7962786	1	5666382	71	1.45
GCA_014648695.1	Streptomyces albospinus	JCM 3399	9206985	58161	48	6522255	71	1.33
GCA_002150845.1	Streptomyces alboverticillatus	NRRL B-24281	7044380	18412	107	5068282	72	1.06
GCA_002154385.1	Streptomyces albovinaceus	NRRL B-2566	7237318	22344	100	5166780	71.5	0.13
GCA_000716935.1	Streptomyces alboviridis	NRRL B-1579	8571085	264758	10	6106944	71.5	1.08
GCA_000813365.1	Streptomyces albus	NBRC 13014	7594511	128836	18	5518678	72.5	0.69
GCA_001418125.1	Streptomyces albus	NRRL B-1685	7375232	16752	135	5353624	72.5	0.69
GCA_001418505.1	Streptomyces albus	NRRL B-2465	7425953	18934	120	5383082	72.5	0.32
GCA_001418545.1	Streptomyces albus	NRRL B-1335	6963283	11416	185	5050923	72.5	0.56
GCA_001661615.1	Streptomyces albus	NRRL B-12378	7195882	14704	143	5220733	72.5	0.75
GCA_004768505.1	Streptomyces albus	DSM 40763	8106237	489196	7	5876986	72.5	1.2
GCA_011006355.1	Streptomyces albus	CAS922	8069210	8069210	1	5857697	72.5	0.57
GCA_024582875.1	Streptomyces albus	INA 01303	6840896	6840896	1	4995362	73	0.13
GCA_024752535.1	Streptomyces albus	DSM 40763	8033415	7889116	1	5833916	72.5	0.69
GCA_030011775.1	Streptomyces albus	RC2	7847620	464302	5	5705429	72.5	0.88
GCA_030158795.1	Streptomyces albus	N11-50	8291284	2309506	2	6027100	72.5	1.93
GCA_040632725.1	Streptomyces albus	NPDC018339	8076999	208940	12	5864998	72.5	0.69
GCA_040634045.1	Streptomyces albus	NPDC007290	8353137	364668	8	6048095	72.5	0.88
GCA_040635935.1	Streptomyces albus	NPDC006791	7811704	239051	12	5683069	73	0.69
GCA_040704425.1	Streptomyces albus	NPDC047549	7950731	198953	14	5773934	72.5	0.69
GCA_000719865.1	Streptomyces albus subsp. albus	NRRL F-4971	6938318	218508	11	5079055	73	0.63
GCA_000720885.1	Streptomyces albus subsp. albus	NRRL B-2362	7845903	247558	12	5706411	72.5	0.69
GCA_000725885.1	Streptomyces albus subsp. albus	NRRL B-1811	7633340	245715	12	5552074	72.5	0.69
GCA_013302895.1	Streptomyces albus subsp. chlorinus	NRRL B-24108	7613803	38528	49	5424217	72.5	1.72
GCA_001975025.1	Streptomyces alfalfae	ACCC40021	8625867	8625867	1	6218703	72	0.13
GCA_004127445.1	Streptomyces alfalfae	XY25	8273342	283721	10	5975254	72	0.13
GCA_004212445.1	Streptomyces alfalfae	XY25	7928771	90629	29	5727174	72	0.13
GCA_016128295.1	Streptomyces alfalfae	Men-myco-93-63	8856609	8856609	1	6377293	72	0.2
GCA_018141485.1	Streptomyces alfalfae	XN-04	8278595	8254035	1	5965662	72	0.39
GCA_007097665.2	Streptomyces alkaliphilus	IF17	5870448	5488	308	4250525	72.5	0.47
GCA_014141535.1	Streptomyces alkaliphilus	DSM 42118	5761373	5021	329	4179256	72.5	0.19
GCA_007097205.2	Streptomyces alkaliterrae	OF1	5999109	15903	120	4317498	72	2.08
GCA_013618515.1	Streptomyces alkaliterrae	OF3	5977613	15600	111	4306189	72	1.14
GCA_013618545.1	Streptomyces alkaliterrae	OF8	6036367	26709	67	4346504	72	1.2
GCA_040298105.1	Streptomyces althioticus	NPDC001673	7520626	162247	16	5451042	72.5	0.85
GCA_040300005.1	Streptomyces althioticus	NPDC000569	7641163	194771	12	5540238	72.5	0.28
GCA_040300465.1	Streptomyces althioticus	NPDC000350	7350223	185167	13	5336613	72.5	
GCA_040609175.1	Streptomyces althioticus	NPDC004741	7532781	159932	17	5462729	72.5	1.14
GCA_040629525.1	Streptomyces althioticus	NPDC005909	7523999	211784	14	5438090	72.5	0.19
GCA_040633295.1	Streptomyces althioticus	NPDC013098	7331384	142111	17	5317698	72.5	
GCA_040633475.1	Streptomyces althioticus	NPDC012847	7422769	233389	13	5386203	72.5	
GCA_040633575.1	Streptomyces althioticus	NPDC012687	7456160	222310	10	5412532	72.5	
GCA_040633725.1	Streptomyces althioticus	NPDC012406	7371627	168780	14	5350208	72.5	
