Assembly Accession 	Organism Name                                           	Organism Infraspecific Names Strain 	Assembly Stats Total Sequence Length 	Assembly Stats Contig N50 	Assembly Stats Contig L50 	Assembly Stats GC Count 	Assembly Stats GC Percent 	CheckM contamination
GCA_900461715.1    	Ralstonia mannitolilytica                               	NCTC12379                           	                             4752409 	                  3420350 	                        1 	                3130818 	                     66   	                0.51
GCA_905397375.1    	Ralstonia mannitolilytica                               	LMG 6866                            	                             4823626 	                   342660 	                        4 	                3174298 	                     66   	                0.91
GCA_958347435.1    	Ralstonia mannitolilytica                               	R-77591                             	                             5297203 	                   222083 	                        9 	                3464172 	                     65.5 	                0.68
GCA_958347445.1    	Ralstonia mannitolilytica                               	R-82526                             	                             4757934 	                   278297 	                        6 	                3142227 	                     66   	                0.68
GCA_958347605.1    	Ralstonia mannitolilytica                               	LMG 18102                           	                             4827297 	                   786418 	                        3 	                3179278 	                     66   	                0.68
GCA_958348635.1    	Ralstonia mannitolilytica                               	LMG 8323                            	                             4590461 	                   113606 	                       12 	                3022646 	                     66   	                0.34
GCA_958349945.1    	Ralstonia mannitolilytica                               	R-76706                             	                             4519213 	                   256435 	                        6 	                2979723 	                     66   	                0.34
GCA_958349955.1    	Ralstonia mannitolilytica                               	R-77592                             	                             4802405 	                   129269 	                       14 	                3151102 	                     65.5 	                0.68
GCA_958350155.1    	Ralstonia mannitolilytica                               	R-76696                             	                             4953533 	                   457206 	                        4 	                3268887 	                     66   	                0.68
GCA_958405575.1    	Ralstonia mannitolilytica                               	LMG 18090                           	                             5076554 	                   220639 	                        8 	                3338977 	                     66   	                0.7
GCA_958405885.1    	Ralstonia mannitolilytica                               	R-77555                             	                             4712452 	                   289891 	                        7 	                3101973 	                     66   	                0.34
GCA_958437825.1    	Ralstonia mannitolilytica                               	R-76727                             	                             4867655 	                    82099 	                       19 	                3216326 	                     66   	                0.82
GCA_958437905.1    	Ralstonia mannitolilytica                               	R-77569                             	                             5244530 	                   211975 	                        9 	                3447427 	                     65.5 	                1.98
GCA_958439005.1    	Ralstonia mannitolilytica                               	R-1479                              	                             4918582 	                   325015 	                        5 	                3245866 	                     66   	                1.36
GCA_023955645.1    	Ralstonia mojiangensis                                  	21MJYT02-10                         	                             5603312 	                   874630 	                        3 	                3561181 	                     63.5 	                0.56
GCA_025290735.1    	Ralstonia mojiangensis                                  	21LDWP02-16                         	                             5447773 	                   916070 	                        3 	                3468141 	                     63.5 	                0.51
GCA_025290755.1    	Ralstonia mojiangensis                                  	22TCCZM01-4                         	                             5512593 	                   924599 	                        3 	                3510112 	                     63.5 	                0.58
GCA_025290765.1    	Ralstonia mojiangensis                                  	22TCJT01-2                          	                             5615131 	                   874270 	                        3 	                3565669 	                     63.5 	                0.22
GCA_025290775.1    	Ralstonia mojiangensis                                  	22TCJT01-1                          	                             5560875 	                  1644766 	                        2 	                3533248 	                     63.5 	                0.52
GCA_018243235.1    	Ralstonia nicotianae                                    	RS                                  	                             5613239 	                  3618724 	                        1 	                3766310 	                     67   	                0.17
GCA_000165085.1    	Ralstonia pickettii                                     	5_7_47FAA                           	                             5249816 	                   137583 	                       13 	                3331373 	                     63.5 	                3.81
GCA_000607165.1    	Ralstonia pickettii                                     	SSH4                                	                             5746538 	                   534775 	                        4 	                3637217 	                     63.5 	                8.14
GCA_000607185.1    	Ralstonia pickettii                                     	CW2                                 	                             5490874 	                   469201 	                        4 	                3494667 	                     63.5 	                8.3
GCA_000743455.1    	Ralstonia pickettii                                     	ATCC 27511                          	                             4765599 	                   480835 	                        4 	                3046077 	                     64   	                3.71
GCA_001699795.1    	Ralstonia pickettii                                     	H2Cu2                               	                             5200293 	                   274229 	                        6 	                3327686 	                     64   	                6.1
GCA_001699815.1    	Ralstonia pickettii                                     	H2Cu5                               	                             5244364 	                    94158 	                       12 	                3340418 	                     63.5 	                4.19
GCA_002516395.2    	Ralstonia pickettii                                     	ICMP-8657                           	                             5484397 	                  2391665 	                        2 	                3485585 	                     63.5 	                5.7
GCA_002849525.1    	Ralstonia pickettii                                     	52                                  	                             5530053 	                  1290718 	                        2 	                3563260 	                     64.5 	               10.84
GCA_009668005.1    	Ralstonia pickettii                                     	PSLESD1                             	                             5267333 	                   523507 	                        4 	                3361679 	                     64   	                7.82
GCA_013391365.1    	Ralstonia pickettii                                     	LB_tupeA                            	                             5320276 	                  1205870 	                        2 	                3386150 	                     63.5 	                5.99
GCA_013413505.1    	Ralstonia pickettii                                     	T9CP10                              	                             4985044 	                   184955 	                        7 	                3173728 	                     63.5 	                3.79
GCA_014141555.1    	Ralstonia pickettii                                     	s65                                 	                             5815728 	                   181887 	                       10 	                3682034 	                     63.5 	                5.73
GCA_014141585.1    	Ralstonia pickettii                                     	s64                                 	                             5815661 	                   181887 	                       11 	                3681881 	                     63.5 	                5.73
GCA_014141695.1    	Ralstonia pickettii                                     	s55                                 	                             5696810 	                   195552 	                       10 	                3614843 	                     63.5 	                8.24
GCA_014141735.1    	Ralstonia pickettii                                     	s51                                 	                             5696886 	                   195552 	                       10 	                3614861 	                     63.5 	                8.24
GCA_014141745.1    	Ralstonia pickettii                                     	s49                                 	                             5813208 	                   179937 	                       11 	                3680533 	                     63.5 	                5.73
GCA_014141805.1    	Ralstonia pickettii                                     	s50                                 	                             5696434 	                   195552 	                       10 	                3614616 	                     63.5 	                8.24
GCA_014141825.1    	Ralstonia pickettii                                     	s48                                 	                             5815483 	                   179937 	                       11 	                3681735 	                     63.5 	                5.73
GCA_014141845.1    	Ralstonia pickettii                                     	s46                                 	                             5698483 	                   205437 	                        9 	                3608363 	                     63.5 	                5.98
GCA_014141915.1    	Ralstonia pickettii                                     	s43                                 	                             5013749 	                   195611 	                        8 	                3197270 	                     64   	                3.23
GCA_014142025.1    	Ralstonia pickettii                                     	s38                                 	                             5256159 	                   195611 	                        8 	                3345992 	                     63.5 	                4.15
GCA_014142125.1    	Ralstonia pickettii                                     	s34                                 	                             5815866 	                   181887 	                       10 	                3682118 	                     63.5 	                5.73
GCA_014142135.1    	Ralstonia pickettii                                     	s32                                 	                             5816172 	                   181887 	                       10 	                3682229 	                     63.5 	                5.73
GCA_014142165.1    	Ralstonia pickettii                                     	s30                                 	                             5814334 	                   179937 	                       11 	                3681096 	                     63.5 	                5.73
GCA_014142195.1    	Ralstonia pickettii                                     	s29                                 	                             5814031 	                   181887 	                       10 	                3681009 	                     63.5 	                5.73
GCA_014142205.1    	Ralstonia pickettii                                     	s27                                 	                             5534019 	                   247735 	                        8 	                3525394 	                     63.5 	                7.28
GCA_014142265.1    	Ralstonia pickettii                                     	s26                                 	                             5494331 	                   280543 	                        8 	                3501166 	                     63.5 	                7.22
GCA_014142365.1    	Ralstonia pickettii                                     	s21                                 	                             5429456 	                   195611 	                        9 	                3451148 	                     63.5 	                6.28
GCA_014142405.1    	Ralstonia pickettii                                     	s19                                 	                             5342851 	                   169570 	                       10 	                3396287 	                     63.5 	                5.24
GCA_014142445.1    	Ralstonia pickettii                                     	s17                                 	                             5351535 	                   280543 	                        7 	                3412357 	                     64   	                5.95
GCA_014142505.1    	Ralstonia pickettii                                     	s14                                 	                             5534060 	                   269063 	                        7 	                3525457 	                     63.5 	                7.28
GCA_014142515.1    	Ralstonia pickettii                                     	s13                                 	                             5537555 	                   269063 	                        8 	                3527511 	                     63.5 	                7.28
GCA_014142545.1    	Ralstonia pickettii                                     	s11                                 	                             5535820 	                   269063 	                        8 	                3526429 	                     63.5 	                7.28
GCA_014142575.1    	Ralstonia pickettii                                     	s10                                 	                             5348194 	                   269063 	                        8 	                3410399 	                     64   	                5.95
GCA_014142625.1    	Ralstonia pickettii                                     	s8                                  	                             5430218 	                   195611 	                        9 	                3451649 	                     63.5 	                6.28
GCA_014142645.1    	Ralstonia pickettii                                     	s7                                  	                             5343083 	                   169570 	                       10 	                3396423 	                     63.5 	                5.24
GCA_014142655.1    	Ralstonia pickettii                                     	s6                                  	                             5782490 	                   195552 	                       10 	                3667198 	                     63.5 	                8.68
GCA_014142685.1    	Ralstonia pickettii                                     	s4                                  	                             5781367 	                   195552 	                       10 	                3666467 	                     63.5 	                8.68
GCA_014142695.1    	Ralstonia pickettii                                     	s5                                  	                             5386944 	                   195552 	                        9 	                3425218 	                     63.5 	                5.93
GCA_014142725.1    	Ralstonia pickettii                                     	s1                                  	                             5614868 	                   264047 	                        8 	                3577131 	                     63.5 	                7.82
GCA_014142735.1    	Ralstonia pickettii                                     	s3                                  	                             5428919 	                   195611 	                        9 	                3450844 	                     63.5 	                6.28
GCA_014142755.1    	Ralstonia pickettii                                     	s2                                  	                             5538224 	                   264047 	                        8 	                3527918 	                     63.5 	                7.28
GCA_016466415.2    	Ralstonia pickettii                                     	K-288                               	                             4831420 	                  3415996 	                        1 	                3087573 	                     64   	                2.94
GCA_018603815.1    	Ralstonia pickettii                                     	NCTR106                             	                             5271161 	                   205936 	                        8 	                3364121 	                     64   	                5.09
GCA_019641695.1    	Ralstonia pickettii                                     	093350054-1                         	                             5431053 	                   195611 	                        9 	                3452141 	                     63.5 	                6.28
GCA_019641775.1    	Ralstonia pickettii                                     	153490002-3                         	                             5818764 	                   181887 	                       10 	                3683851 	                     63.5 	                5.73
GCA_019641795.1    	Ralstonia pickettii                                     	093490003-1                         	                             5344678 	                   169570 	                       10 	                3397406 	                     63.5 	                5.24
GCA_019641815.1    	Ralstonia pickettii                                     	153490002-2                         	                             5818597 	                   181887 	                       11 	                3683698 	                     63.5 	                5.73
GCA_019641895.1    	Ralstonia pickettii                                     	151470044-2                         	                             5819415 	                   179937 	                       10 	                3684191 	                     63.5 	                5.73
GCA_019641905.1    	Ralstonia pickettii                                     	151470044-3                         	                             4446362 	                   170100 	                        9 	                2800970 	                     63   	                3.15
GCA_019642025.1    	Ralstonia pickettii                                     	092570011-1                         	                             5783836 	                   195552 	                       10 	                3667982 	                     63.5 	                8.68
GCA_019642175.1    	Ralstonia pickettii                                     	140710038-2                         	                             5700113 	                   195552 	                       10 	                3616808 	                     63.5 	                7.89
GCA_019642275.1    	Ralstonia pickettii                                     	092950004-1                         	                             5389165 	                   195552 	                        9 	                3426586 	                     63.5 	                5.93
GCA_019642295.1    	Ralstonia pickettii                                     	133170049-3                         	                             5698029 	                   195552 	                       10 	                3615599 	                     63.5 	                8.24
GCA_019642335.1    	Ralstonia pickettii                                     	132550021-3                         	                             5818044 	                   179937 	                       11 	                3683340 	                     63.5 	                5.73
GCA_019642395.1    	Ralstonia pickettii                                     	132550028-1                         	                             5700791 	                   205437 	                        9 	                3609837 	                     63.5 	                5.98
GCA_019642455.1    	Ralstonia pickettii                                     	133170061-1                         	                             5815339 	                   179937 	                       11 	                3681826 	                     63.5 	                5.73
GCA_019642515.1    	Ralstonia pickettii                                     	123250053-1                         	                             5015890 	                   195611 	                        8 	                3198559 	                     64   	                3.23
GCA_019642555.1    	Ralstonia pickettii                                     	092570008-1                         	                             5782962 	                   195552 	                       10 	                3667450 	                     63.5 	                8.68
GCA_019642675.1    	Ralstonia pickettii                                     	121850007-2                         	                             5257754 	                   195611 	                        8 	                3346975 	                     63.5 	                4.5
GCA_019642735.1    	Ralstonia pickettii                                     	113330051-2                         	                             5818912 	                   181887 	                       10 	                3683935 	                     63.5 	                5.73
GCA_019642775.1    	Ralstonia pickettii                                     	112760001-1                         	                             5819405 	                   181887 	                       10 	                3684181 	                     63.5 	                5.73
GCA_019642795.1    	Ralstonia pickettii                                     	112620001-1                         	                             5819024 	                   179937 	                       11 	                3683940 	                     63.5 	                5.73
GCA_019642805.1    	Ralstonia pickettii                                     	092160076-1                         	                             5430524 	                   195611 	                        9 	                3451827 	                     63.5 	                6.28
GCA_019642855.1    	Ralstonia pickettii                                     	112060001-1                         	                             5818822 	                   181887 	                       10 	                3683846 	                     63.5 	                5.73
GCA_019642915.1    	Ralstonia pickettii                                     	110760020-1                         	                             5535017 	                   247735 	                        8 	                3526073 	                     63.5 	                7.28
GCA_019642935.1    	Ralstonia pickettii                                     	110700041-2                         	                             5494920 	                   280543 	                        8 	                3501498 	                     63.5 	                7.22
GCA_019642995.1    	Ralstonia pickettii                                     	092160072-1                         	                             5538813 	                   264047 	                        8 	                3528250 	                     63.5 	                7.28
GCA_019643015.1    	Ralstonia pickettii                                     	110730038-1                         	                             5431051 	                   195611 	                        9 	                3452131 	                     63.5 	                6.28
GCA_019643075.1    	Ralstonia pickettii                                     	110730035-1                         	                             5345646 	                   169570 	                       10 	                3397995 	                     63.5 	                5.24
GCA_019643105.1    	Ralstonia pickettii                                     	102690001-2                         	                             5352779 	                   280543 	                        7 	                3413094 	                     64   	                5.95
GCA_019643135.1    	Ralstonia pickettii                                     	101480038-1                         	                             5534649 	                   269063 	                        7 	                3525789 	                     63.5 	                7.28
GCA_019643195.1    	Ralstonia pickettii                                     	101120021-1                         	                             5536409 	                   269063 	                        8 	                3526761 	                     63.5 	                7.28
GCA_019643215.1    	Ralstonia pickettii                                     	101480035-1                         	                             5539325 	                   269063 	                        8 	                3528532 	                     63.5 	                7.28
GCA_019643235.1    	Ralstonia pickettii                                     	100540015-2                         	                             5348773 	                   269063 	                        8 	                3410731 	                     64   	                5.95
GCA_020341455.1    	Ralstonia pickettii                                     	FDAARGOS_1535                       	                             5008012 	                  3412430 	                        1 	                3195325 	                     64   	                2.94
GCA_023712645.1    	Ralstonia pickettii                                     	MSL 336.2                           	                             5563662 	                   460861 	                        5 	                3524794 	                     63.5 	                5.79
GCA_030582395.1    	Ralstonia pickettii                                     	MCR                                 	                             5356255 	                  3486479 	                        1 	                3414610 	                     63.5 	                7.05
GCA_033804535.1    	Ralstonia pickettii                                     	23-013-0131                         	                             4994467 	                   305069 	                        6 	                3194741 	                     64   	                4.19
GCA_035605275.1    	Ralstonia pickettii                                     	HY4163                              	                             5322797 	                   112384 	                       15 	                3392343 	                     63.5 	                5.69
GCA_035605335.1    	Ralstonia pickettii                                     	HY4146                              	                             5773510 	                    82948 	                       23 	                3648070 	                     63   	                5.4
GCA_035605355.1    	Ralstonia pickettii                                     	HY4115                              	                             5779863 	                    92833 	                       23 	                3650147 	                     63   	                5.74
GCA_035620275.1    	Ralstonia pickettii                                     	HY4149                              	                             5464751 	                    26287 	                       67 	                3457621 	                     63.5 	                6.16
GCA_035620315.1    	Ralstonia pickettii                                     	HY4145                              	                             5342691 	                    85772 	                       17 	                3392607 	                     63.5 	                6.53
GCA_900455835.1    	Ralstonia pickettii                                     	NCTC11149                           	                             4810167 	                  2565259 	                        1 	                3074883 	                     64   	                3.66
GCA_902374465.1    	Ralstonia pickettii                                     	                                    	                             5254771 	                   653153 	                        4 	                3337836 	                     63.5 	                4.86
GCA_958349765.1    	Ralstonia pickettii                                     	R-38712                             	                             5620686 	                   222243 	                        7 	                3573306 	                     63.5 	                5.58
GCA_001544155.1    	Ralstonia pickettii NBRC 102503                         	NBRC 102503                         	                             4733058 	                   241285 	                        6 	                3027662 	                     64   	                3.64
GCA_000372665.1    	Ralstonia pickettii OR214                               	OR214                               	                             5480587 	                   321662 	                        6 	                3475413 	                     63.5 	                5.15
GCA_958405935.1    	Ralstonia psammae                                       	LMG 19083                           	                             5507056 	                   386929 	                        5 	                3516563 	                     64   	                0.68
GCA_001644865.1    	Ralstonia pseudosolanacearum                            	P781                                	                             5621641 	                    35753 	                       50 	                3773141 	                     67   	                0.34
GCA_001645725.1    	Ralstonia pseudosolanacearum                            	UW757                               	                             5736925 	                   106586 	                       18 	                3844971 	                     67   	                0.17
GCA_001891105.1    	Ralstonia pseudosolanacearum                            	EP1                                 	                             6042968 	                  3949527 	                        1 	                4031801 	                     66.5 	                0.21
GCA_002220465.1    	Ralstonia pseudosolanacearum                            	CQPS-1                              	                             5893444 	                  3832354 	                        1 	                3939179 	                     67   	                0.21
GCA_003256405.1    	Ralstonia pseudosolanacearum                            	Fm03                                	                             5853820 	                    71623 	                       26 	                3913346 	                     67   	                0.51
GCA_003256425.1    	Ralstonia pseudosolanacearum                            	Cq01                                	                             5882659 	                   100473 	                       20 	                3930198 	                     67   	                0.22
GCA_003256445.1    	Ralstonia pseudosolanacearum                            	Bg07                                	                             5746613 	                    84821 	                       22 	                3840584 	                     67   	                0.17
GCA_003576625.1    	Ralstonia pseudosolanacearum                            	P824                                	                             6009303 	                   398706 	                        6 	                3767262 	                     67   	                0.21
GCA_003595305.1    	Ralstonia pseudosolanacearum                            	RS 476                              	                             5810927 	                  3716422 	                        1 	                3891530 	                     67   	                0.17
GCA_003595325.1    	Ralstonia pseudosolanacearum                            	T523                                	                             5722329 	                  3652934 	                        1 	                3832017 	                     67   	                0.51
GCA_003725665.1    	Ralstonia pseudosolanacearum                            	Tg03                                	                             5927306 	                   102533 	                       20 	                3957885 	                     67   	                0.87
GCA_006088755.1    	Ralstonia pseudosolanacearum                            	UW386                               	                             5488379 	                  3658282 	                        1 	                3672707 	                     67   	                1.19
GCA_008000395.1    	Ralstonia pseudosolanacearum                            	VT0801                              	                             5290169 	                     7937 	                      178 	                3516133 	                     66.5 	                0.71
GCA_014884685.1    	Ralstonia pseudosolanacearum                            	RUN2474                             	                             5654469 	                  3712138 	                        1 	                3772597 	                     66.5 	                0.49
GCA_014884705.1    	Ralstonia pseudosolanacearum                            	RUN2279                             	                             5746272 	                  3835000 	                        1 	                3828784 	                     66.5 	                0.49
GCA_014884725.1    	Ralstonia pseudosolanacearum                            	UW763                               	                             5783389 	                  3762104 	                        1 	                3873427 	                     67   	                0.17
GCA_015910515.1    	Ralstonia pseudosolanacearum                            	NCPPB 4029                          	                             6016317 	                  1388835 	                        2 	                4014684 	                     66.5 	                0.68
GCA_015910695.1    	Ralstonia pseudosolanacearum                            	NCPPB 253                           	                             5798890 	                   926983 	                        3 	                3881624 	                     67   	                0.34
GCA_015910735.1    	Ralstonia pseudosolanacearum                            	NCPPB 216                           	                             5430530 	                   634172 	                        4 	                3618223 	                     66.5 	                0.5
GCA_015910975.1    	Ralstonia pseudosolanacearum                            	PD 3278                             	                             5295631 	                    31197 	                       50 	                3548816 	                     67   	                0.5
GCA_015911375.1    	Ralstonia pseudosolanacearum                            	PD 4138                             	                             5786386 	                    32884 	                       53 	                3869588 	                     67   	                1.29
GCA_015911495.1    	Ralstonia pseudosolanacearum                            	PD 3634                             	                             5739679 	                    52339 	                       33 	                3848144 	                     67   	                0.05
GCA_015911505.1    	Ralstonia pseudosolanacearum                            	PD 3570                             	                             5786030 	                    54516 	                       27 	                3871307 	                     67   	                0.81
GCA_015911615.1    	Ralstonia pseudosolanacearum                            	PD:3205                             	                             5576736 	                    65370 	                       26 	                3744156 	                     67   	                0.34
GCA_015911645.1    	Ralstonia pseudosolanacearum                            	PD:3196                             	                             5789657 	                    21483 	                       76 	                3870434 	                     67   	                2.01
GCA_015911755.1    	Ralstonia pseudosolanacearum                            	PD:7123                             	                             5884479 	                   937944 	                        3 	                3931041 	                     67   	                 
GCA_015912055.1    	Ralstonia pseudosolanacearum                            	PD:1256                             	                             5702285 	                    51852 	                       31 	                3822837 	                     67   	                0.34
GCA_015912145.1    	Ralstonia pseudosolanacearum                            	PD:1419                             	                             5759052 	                    49594 	                       37 	                3852505 	                     67   	                0.24
GCA_015912175.1    	Ralstonia pseudosolanacearum                            	NCPPB:1579                          	                             5844740 	                    87340 	                       19 	                3907909 	                     67   	                0.17
GCA_015912195.1    	Ralstonia pseudosolanacearum                            	PD:1255                             	                             5720654 	                    32086 	                       54 	                3836010 	                     67   	                0.3
GCA_015912205.1    	Ralstonia pseudosolanacearum                            	NCPPB:790                           	                             5873660 	                   193495 	                       11 	                3930967 	                     67   	                0.65
GCA_015912245.1    	Ralstonia pseudosolanacearum                            	Lallmahomed 72                      	                             5764223 	                    38137 	                       42 	                3862680 	                     67   	                0.13
GCA_015912275.1    	Ralstonia pseudosolanacearum                            	Lallmahomed 66                      	                             5728250 	                    33983 	                       50 	                3840672 	                     67   	                0.34
GCA_015912285.1    	Ralstonia pseudosolanacearum                            	Lallmahomed 59                      	                             5683417 	                    31141 	                       58 	                3809283 	                     67   	                0.53
GCA_015912315.1    	Ralstonia pseudosolanacearum                            	Lallmahomed 30                      	                             5675873 	                    36739 	                       41 	                3805351 	                     67   	                0.46
GCA_015912335.1    	Ralstonia pseudosolanacearum                            	Lallmahomed 16                      	                             5758426 	                    31840 	                       49 	                3857556 	                     67   	                0.34
GCA_015912355.1    	Ralstonia pseudosolanacearum                            	Lallmahomed 54                      	                             5700594 	                    45846 	                       39 	                3821357 	                     67   	                0.34
GCA_015912375.1    	Ralstonia pseudosolanacearum                            	Lallmahomed 7                       	                             5756184 	                    38511 	                       43 	                3856342 	                     67   	                0.34
GCA_015912385.1    	Ralstonia pseudosolanacearum                            	Lallmahomed 13                      	                             5730140 	                    32800 	                       57 	                3841145 	                     67   	                0.3
GCA_019737115.1    	Ralstonia pseudosolanacearum                            	T2C-Rasto                           	                             5628295 	                   105684 	                       17 	                3772667 	                     67   	                0.62
GCA_022625045.1    	Ralstonia pseudosolanacearum                            	SL1931                              	                             5904965 	                  3744397 	                        1 	                3942937 	                     67   	                0.34
GCA_022808635.1    	Ralstonia pseudosolanacearum                            	WXQ_10                              	                             4735665 	                     1203 	                     1269 	                3216726 	                     68   	                 
GCA_023074975.1    	Ralstonia pseudosolanacearum                            	T25_UW811                           	                             5878784 	                    77974 	                       27 	                3925049 	                     67   	                0.17
GCA_023075035.1    	Ralstonia pseudosolanacearum                            	B17_UW800                           	                             5710890 	                    13277 	                      131 	                3826331 	                     67   	                0.57
GCA_023075115.1    	Ralstonia pseudosolanacearum                            	RUN2587_UW776                       	                             5474579 	                    58668 	                       27 	                3654368 	                     67   	                0.53
GCA_023075375.1    	Ralstonia pseudosolanacearum                            	DGBBC1138_UW685                     	                             5406075 	                   140243 	                       14 	                3622786 	                     67   	                1.18
GCA_023075415.1    	Ralstonia pseudosolanacearum                            	NCPPB332_UW654                      	                             5478302 	                    75972 	                       23 	                3664361 	                     67   	                0.78
GCA_023075535.1    	Ralstonia pseudosolanacearum                            	CIP365_UW642                        	                             5568279 	                    55236 	                       34 	                3732960 	                     67   	                0.25
GCA_023075875.1    	Ralstonia pseudosolanacearum                            	CIP266_UW505                        	                             5707788 	                    97404 	                       17 	                3824708 	                     67   	                0.17
