Assembly Accession 	Assembly Name                           	Organism Name                   	Organism Taxonomic ID 	Organism Infraspecific Names Breed 	Organism Infraspecific Names Strain 	Organism Infraspecific Names Cultivar 	Organism Infraspecific Names Ecotype 	Organism Infraspecific Names Isolate 	Organism Infraspecific Names Sex 	Annotation Name                                        	Assembly Stats Total Sequence Length 	Assembly Stats Total Number of Chromosomes 	Assembly Level  	Assembly Release Date 	WGS project accession 	Assembly Stats Contig N50 	Assembly Stats Scaffold N50 	Assembly Stats Number of Scaffolds 	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech                 	Assembly Submitter                                                     	Assembly BioProject Accession 	Assembly BioSample Accession 	Annotation Count Gene Total            	Annotation Count Gene Protein-coding 	Annotation Count Gene Pseudogene 	Type Material Display Text  	CheckM marker set   	CheckM completeness 	CheckM contamination
GCA_000743455.1    	RPT                                     	Ralstonia pickettii             	                  329 	                                   	ATCC 27511                          	                                      	                                     	                                     	                                 	Annotation submitted by Los Alamos National Laboratory 	                             4765599 	                                           	Scaffold        	2014-08-25            	JOVL01                	                   480835 	                    4765599 	                                 1 	                          	                             	                            	                            	                         	                         	454; Illumina                            	Los Alamos National Laboratory                                         	PRJNA244358                   	SAMN02870864                 	4479                                   	                                4425 	                                 	assembly from type material 	Ralstonia pickettii 	              87.91 	                3.71
GCF_000743455.1    	RPT                                     	Ralstonia pickettii             	                  329 	                                   	ATCC 27511                          	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             4765599 	                                           	Scaffold        	2014-08-25            	JOVL01                	                   480835 	                    4765599 	                                 1 	                          	                             	                            	                            	                         	                         	454; Illumina                            	Los Alamos National Laboratory                                         	PRJNA244358                   	SAMN02870864                 	4474                                   	                                4333 	                              84 	assembly from type material 	Ralstonia pickettii 	              87.91 	                3.71
GCA_001544155.1    	ASM154415v1                             	Ralstonia pickettii NBRC 102503 	              1218114 	                                   	NBRC 102503                         	                                      	                                     	                                     	                                 	                                                       	                             4733058 	                                           	Contig          	2016-01-26            	BCPW01                	                   241285 	                            	                                   	                          	                             	                            	                            	                         	                         	454 GS-FLX Titanium; Illumina HiSeq 1000 	National Institute of Technology and Evaluation                        	PRJDB287                      	SAMD00045738                 	                                       	                                     	                                 	assembly from type material 	Ralstonia pickettii 	              87.91 	                3.64
GCF_001544155.1    	ASM154415v1                             	Ralstonia pickettii NBRC 102503 	              1218114 	                                   	NBRC 102503                         	                                      	                                     	                                     	                                 	GCF_001544155.1-RS_2024_08_19                          	                             4733058 	                                           	Contig          	2016-01-26            	BCPW01                	                   241285 	                            	                                   	                          	                             	                            	                            	                         	                         	454 GS-FLX Titanium; Illumina HiSeq 1000 	National Institute of Technology and Evaluation                        	PRJDB287                      	SAMD00045738                 	4436                                   	                                4328 	                              52 	assembly from type material 	Ralstonia pickettii 	              87.91 	                3.64
GCA_002516395.2    	ASM251639v2                             	Ralstonia pickettii             	                  329 	                                   	ICMP-8657                           	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5484397 	                                           	Scaffold        	2018-01-31            	NREQ02                	                  2391665 	                    5024906 	                                72 	                          	                             	                            	                            	                         	                         	PacBio                                   	University of Tuebingen                                                	PRJNA398589                   	SAMN07513497                 	5345                                   	                                5047 	                             226 	                            	Ralstonia pickettii 	              89.64 	                5.7
GCF_002516395.1    	ASM251639v2                             	Ralstonia pickettii             	                  329 	                                   	ICMP-8657                           	                                      	                                     	                                     	                                 	GCF_002516395.1-RS_2024_08_01                          	                             5484397 	                                           	Scaffold        	2018-01-31            	NREQ02                	                  2391665 	                    5024906 	                                72 	                          	                             	                            	                            	                         	                         	PacBio                                   	University of Tuebingen                                                	PRJNA398589                   	SAMN07513497                 	5277                                   	                                5045 	                             162 	                            	Ralstonia pickettii 	              89.64 	                5.7
GCA_002849525.1    	ASM284952v1                             	Ralstonia pickettii             	                  329 	                                   	52                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5530053 	                                           	Contig          	2018-01-02            	PKQE01                	                  1290718 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina HiSeq                           	The First Affiliated Hospital, School of Medicine, Zhejiang University 	PRJNA427543                   	SAMN08239918                 	5237                                   	                                5073 	                             105 	                            	Ralstonia pickettii 	              87.63 	               10.84
GCF_002849525.1    	ASM284952v1                             	Ralstonia pickettii             	                  329 	                                   	52                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5530053 	                                           	Contig          	2018-01-02            	PKQE01                	                  1290718 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina HiSeq                           	The First Affiliated Hospital, School of Medicine, Zhejiang University 	PRJNA427543                   	SAMN08239918                 	5197                                   	                                5118 	                              20 	                            	Ralstonia pickettii 	              87.63 	               10.84
GCA_013391365.1    	ASM1339136v1                            	Ralstonia pickettii             	                  329 	                                   	LB_tupeA                            	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5320276 	                                           	Contig          	2020-07-07            	JACAWZ01              	                  1205870 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina HiSeq                           	Federal University of Amazonas                                         	PRJNA641460                   	SAMN15353873                 	4935                                   	                                4812 	                              62 	                            	Ralstonia pickettii 	              89.48 	                5.99
GCF_013391365.1    	ASM1339136v1                            	Ralstonia pickettii             	                  329 	                                   	LB_tupeA                            	                                      	                                     	                                     	                                 	GCF_013391365.1-RS_2024_08_31                          	                             5320276 	                                           	Contig          	2020-07-07            	JACAWZ01              	                  1205870 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina HiSeq                           	Federal University of Amazonas                                         	PRJNA641460                   	SAMN15353873                 	4953                                   	                                4853 	                              39 	                            	Ralstonia pickettii 	              89.48 	                5.99
GCA_000607165.1    	assembly v1 of Ralstonia pickettii SSH4 	Ralstonia pickettii             	                  329 	                                   	SSH4                                	                                      	                                     	                                     	                                 	                                                       	                             5746538 	                                           	Scaffold        	2014-03-28            	JFZG01                	                   534775 	                     534775 	                                38 	                          	                             	                            	                            	                         	                         	454                                      	Belgian Nuclear Research Center                                        	PRJNA238509                   	SAMN02644835                 	                                       	                                     	                                 	                            	Ralstonia pickettii 	              92.95 	                8.14
GCF_000607165.1    	assembly v1 of Ralstonia pickettii SSH4 	Ralstonia pickettii             	                  329 	                                   	SSH4                                	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5746538 	                                           	Scaffold        	2014-03-28            	JFZG01                	                   534775 	                     534775 	                                38 	                          	                             	                            	                            	                         	                         	454                                      	Belgian Nuclear Research Center                                        	PRJNA238509                   	SAMN02644835                 	5431                                   	                                5337 	                              39 	                            	Ralstonia pickettii 	              92.95 	                8.14
GCA_009668005.1    	ASM966800v1                             	Ralstonia pickettii             	                  329 	                                   	PSLESD1                             	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5267333 	                                           	Contig          	2019-11-18            	WJYN01                	                   523507 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NovaSeq                         	Zhejiang Provincial People's Hospital                                  	PRJNA588518                   	SAMN13247127                 	4896                                   	                                4774 	                              66 	                            	Ralstonia pickettii 	              88.56 	                7.82
GCF_009668005.1    	ASM966800v1                             	Ralstonia pickettii             	                  329 	                                   	PSLESD1                             	                                      	                                     	                                     	                                 	GCF_009668005.1-RS_2024_07_24                          	                             5267333 	                                           	Contig          	2019-11-18            	WJYN01                	                   523507 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NovaSeq                         	Zhejiang Provincial People's Hospital                                  	PRJNA588518                   	SAMN13247127                 	4931                                   	                                4814 	                              61 	                            	Ralstonia pickettii 	              88.56 	                7.82
GCA_000607185.1    	assembly v1 of Ralstonia pickettii CW2  	Ralstonia pickettii             	                  329 	                                   	CW2                                 	                                      	                                     	                                     	                                 	                                                       	                             5490874 	                                           	Contig          	2014-03-28            	JFZH01                	                   469201 	                            	                                   	                          	                             	                            	                            	                         	                         	454                                      	Belgian Nuclear Research Center                                        	PRJNA238509                   	SAMN02644836                 	                                       	                                     	                                 	                            	Ralstonia pickettii 	              94.89 	                8.3
GCF_000607185.1    	assembly v1 of Ralstonia pickettii CW2  	Ralstonia pickettii             	                  329 	                                   	CW2                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5490874 	                                           	Contig          	2014-03-28            	JFZH01                	                   469201 	                            	                                   	                          	                             	                            	                            	                         	                         	454                                      	Belgian Nuclear Research Center                                        	PRJNA238509                   	SAMN02644836                 	5205                                   	                                5069 	                              78 	                            	Ralstonia pickettii 	              94.89 	                8.3
GCA_023712645.1    	ASM2371264v1                            	Ralstonia pickettii             	                  329 	                                   	MSL 336.2                           	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5563662 	                                           	Contig          	2022-06-13            	JAMAXT01              	                   460861 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina HiSeq                           	Jet Propulsion Laboratory                                              	PRJNA832800                   	SAMN27922063                 	5422                                   	                                5262 	                             104 	                            	Ralstonia pickettii 	              93.13 	                5.79
GCF_023712645.1    	ASM2371264v1                            	Ralstonia pickettii             	                  329 	                                   	MSL 336.2                           	                                      	                                     	                                     	                                 	GCF_023712645.1-RS_2024_06_28                          	                             5563662 	                                           	Contig          	2022-06-13            	JAMAXT01              	                   460861 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina HiSeq                           	Jet Propulsion Laboratory                                              	PRJNA832800                   	SAMN27922063                 	5443                                   	                                5270 	                             117 	                            	Ralstonia pickettii 	              93.13 	                5.79
GCA_033804535.1    	ASM3380453v1                            	Ralstonia pickettii             	                  329 	                                   	23-013-0131                         	                                      	                                     	                                     	                                 	                                                       	                             4994467 	                                           	Contig          	2023-11-19            	JAWZST01              	                   305069 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina iSeq                            	ICPMR, New South Wales Health Pathology                                	PRJNA1040313                  	SAMN38255698                 	                                       	                                     	                                 	                            	Ralstonia pickettii 	              89.96 	                4.19
GCF_033804535.1    	ASM3380453v1                            	Ralstonia pickettii             	                  329 	                                   	23-013-0131                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             4994467 	                                           	Contig          	2023-11-19            	JAWZST01              	                   305069 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina iSeq                            	ICPMR, New South Wales Health Pathology                                	PRJNA1040313                  	SAMN38255698                 	4719                                   	                                4596 	                              68 	                            	Ralstonia pickettii 	              89.96 	                4.19
GCA_014142265.1    	ASM1414226v1                            	Ralstonia pickettii             	                  329 	                                   	s26                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5494331 	                                           	Contig          	2020-08-10            	RASF01                	                   280543 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135506                 	5309                                   	                                5072 	                             183 	                            	Ralstonia pickettii 	              93.13 	                7.22
GCF_014142265.1    	ASM1414226v1                            	Ralstonia pickettii             	                  329 	                                   	s26                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5494331 	                                           	Contig          	2020-08-10            	RASF01                	                   280543 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135506                 	5272                                   	                                5122 	                              96 	                            	Ralstonia pickettii 	              93.13 	                7.22
GCA_014142445.1    	ASM1414244v1                            	Ralstonia pickettii             	                  329 	                                   	s17                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5351535 	                                           	Contig          	2020-08-10            	RASJ01                	                   280543 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135497                 	5153                                   	                                4925 	                             175 	                            	Ralstonia pickettii 	              92.94 	                5.95
GCF_014142445.1    	ASM1414244v1                            	Ralstonia pickettii             	                  329 	                                   	s17                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5351535 	                                           	Contig          	2020-08-10            	RASJ01                	                   280543 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135497                 	5117                                   	                                4969 	                              95 	                            	Ralstonia pickettii 	              92.94 	                5.95
GCA_019642935.1    	ASM1964293v1                            	Ralstonia pickettii             	                  329 	                                   	110700041-2                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5494920 	                                           	Contig          	2021-08-16            	QGCC01                	                   280543 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001575                 	5242                                   	                                5064 	                             124 	                            	Ralstonia pickettii 	              93.13 	                7.22
GCF_019642935.1    	ASM1964293v1                            	Ralstonia pickettii             	                  329 	                                   	110700041-2                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5494920 	                                           	Contig          	2021-08-16            	QGCC01                	                   280543 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001575                 	5275                                   	                                5125 	                              96 	                            	Ralstonia pickettii 	              93.13 	                7.22
GCA_019643105.1    	ASM1964310v1                            	Ralstonia pickettii             	                  329 	                                   	102690001-2                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5352779 	                                           	Contig          	2021-08-16            	QGCK01                	                   280543 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001565                 	5085                                   	                                4911 	                             121 	                            	Ralstonia pickettii 	              92.94 	                5.95
GCF_019643105.1    	ASM1964310v1                            	Ralstonia pickettii             	                  329 	                                   	102690001-2                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5352779 	                                           	Contig          	2021-08-16            	QGCK01                	                   280543 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001565                 	5118                                   	                                4969 	                              96 	                            	Ralstonia pickettii 	              92.94 	                5.95
